INDEX;ALLIGATOR CRACKING LOW;ALLIGATOR CRACKING MEDIUM;ALLIGATOR CRACKING HIGH;PUMPING HIGH;CORRUGATION LOW;CORRUGATION MEDIUM;CORRUGATION HIGH;DEPRESSION LOW;DEPRESSION MEDIUM;DEPRESSION HIGH;EDGE CRACKING LOW;EDGE CRACKING MEDIUM;EDGE CRACKING HIGH;JOINT REFLECTION CRACKING LOW;JOINT REFLECTION CRACKING MEDIUM;JOINT REFLECTION CRACKING HIGH;LONG-TRANS CRACKING LOW;LONG-TRANS CRACKING MEDIUM;LONG-TRANS CRACKING HIGH;POLISHED AGGREGATE ALL;POTHOLES LOW;POTHOLES MEDIUM;POTHOLES HIGH;RUTTING LOW;RUTTING MEDIUM;RUTTING HIGH;SHOVING LOW;SHOVING MEDIUM;SHOVING HIGH;WEATHERING AND RAVELING MEDIUM;BLEEDING MEDIUM
ALLIGATOR CRACKING LOW;3;;;1;;;;1;1;1;3+4;3+4;2+4;3+4;3+4;2+4;3+4;3+4;2+4;;3;2;1;;;;;;;3;
ALLIGATOR CRACKING MEDIUM;;2;;1;;;;1;1;1;2+4;2+4;1+4;2+4;2+4;1+4;2+4;2+4;1+4;;2;2;1;;;;;;;2;
ALLIGATOR CRACKING HIGH;;;1;1;;;;1;1;1;1+4;1+4;1+4;1+4;1+4;1+4;1+4;1+4;1+4;;1;1;1;;;;;;;1;
PUMPING HIGH;;;;;;;;1;1;1;3+4;2+4;1+4;1+4;1+4;1+4;1+4;1+4;1+4;;1;1;1;;;;;;;;
CORRUGATION LOW;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;
CORRUGATION MEDIUM;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;
CORRUGATION HIGH;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
DEPRESSION LOW;;;;;;;;3;;;3+4;3+4;2+4;3+4;3+4;2+4;3+4;3+4;2+4;;1;1;1;;;;;;;;
DEPRESSION MEDIUM;;;;;;;;;2;;2+4;2+4;1+4;2+4;2+4;1+4;2+4;2+4;1+4;;1;1;1;;;;;;;;
DEPRESSION HIGH;;;;;;;;;;1;1+4;1+4;1+4;1+4;1+4;1+4;1+4;1+4;1+4;;1;1;1;;;;;;;;
EDGE CRACKING LOW;;;;;;;;;;;4;;;4;4;4+5;4;4;4+5;;3+4;2+4;2+4;3;2;2;;;;4+3;
EDGE CRACKING MEDIUM;;;;;;;;;;;;4;;4;4;4+5;4;4;4+5;;3+4;2+4;2+4;3;2;2;;;;4,3;
EDGE CRACKING HIGH;;;;;;;;;;;;;4;4+5;4+5;4+5;4+5;4+5;4+5;;3+4;2+4;2+4;3;2;2;;;;4+3;
JOINT REFLECTION CRACKING LOW;;;;;;;;;;;;;;3;;;;;;;3+4;2+4;2+4;3+4;2+4;2+4;;;;4+3;
JOINT REFLECTION CRACKING MEDIUM;;;;;;;;;;;;;;;2;;;;;;3+4;2+4;2+4;3+4;2+4;2+4;;;;4+3;
JOINT REFLECTION CRACKING HIGH;;;;;;;;;;;;;;;;1;;;;;3+4;2+4;2+4;1+4;1+4;1+4;;;;4+3;
LONG-TRANS CRACKING LOW;;;;;;;;;;;;;;;;;4;;;;3+4;2+4;2+4;3;2;2;;;;3;
LONG-TRANS CRACKING MEDIUM;;;;;;;;;;;;;;;;;;4;;;3+4;2+4;2+4;3;2;2;;;;3;
LONG-TRANS CRACKING HIGH;;;;;;;;;;;;;;;;;;;4+5;;3+4;2+4;2+4;3;2;2;;;;3;
POLISHED AGGREGATE ALL;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;
POTHOLES LOW;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;3;
POTHOLES MEDIUM;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2;
POTHOLES HIGH;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2;
RUTTING LOW;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;3
RUTTING MEDIUM;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;3
RUTTING HIGH;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3
SHOVING LOW;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;
SHOVING MEDIUM;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
SHOVING HIGH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
WEATHERING AND RAVELING MEDIUM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;
BLEEDING MEDIUM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
